Class,Time,Workload,LAB,Semester
CAAM 335,14:00-14:50/135,3.58,none,S
CAAM 335,14:00-14:50/135,3.7,none,F
COMP 140,13:00-14:15/24,3.64,none,F
COMP 140,14:30-15:45/24,3.64,none,S
COMP 182,10:50-12:05/24,4.73,none,S
COMP 215,9:00-09:50/135,4.12,none,F
COMP 310,10:00-10:50/135,3.77,none,S
COMP 310,13:00-13:50/135,4.21,none,F
COMP 311,16:00-17:15/24,4.07,none,F
COMP 321,14:30-15:45/24,4.36,none,S
COMP 322,13:00-13:50/135,3.17,none,S
COMP 326,10:50-12:05/24,3.23,none,F
COMP 330,10:00-10:50/135,3.13,none,F
COMP 340,10:00-10:50/135,3.52,none,F
COMP 380,9:25-10:40/24,3.72,none,F
COMP 382,10:50-12:05/24,3.84,none,F
COMP 403,10:00-10:50/135,3,none,S
COMP 409,9:25-10:40/24,3.89,none,F
COMP 410,15:00-15:50/135,4.56,none,S
COMP 411,13:00-13:50/135,3.75,none,S
COMP 412,11:00-11:50/135,3.59,none,F
COMP 413,15:00-15:50/135,3.43,none,F
COMP 420,13:00-13:50/135,3.15,none,F
COMP 421,14:30-15:45/24,4.45,none,S
COMP 422,13:00-14:15/24,3.21,none,F
COMP 424,10:50-12:05/24,4.33,none,F
COMP 425,8:00-09:15/24,1.79,none,F
COMP 427,10:50-12:05/24,3.31,none,S
COMP 430,14:00-14:50/135,2.59,none,F
COMP 430,14:00-14:50/135,2.59,none,S
COMP 431,14:30-15:45/24,3.96,none,F
COMP 436,14:30-15:45/35,3,none,F
COMP 440,9:25-10:40/24,4.22,none,F
COMP 447,16:00-17:15/24,3,none,S
COMP 448,14:00-14:50/24,3,none,F
COMP 450,13:00-14:15/24,4.3,none,F
COMP 481,14:30-15:45/24,3.06,none,S
COMP 485,16:00-18:59/4,2.5,none,F
COMP 486,16:00-18:50/4,2.17,none,S
COMP 498,13:00-14:15/24,3,none,S
ELEC 220,9:25-10:40/24,1.79,none,S
ELEC 303,9:25-10:40/24,4.03,none,F
MATH 101,10:00-10:50/135,2.75,none,S
MATH 101,11:00-11:50/135,3.42,none,F
MATH 102,11:00-11:50/135,3.08,none,F
MATH 102,11:00-11:50/135,3.91,none,S
MATH 211,10:00-10:50/135,3.19,none,S
MATH 211,11:00-11:50/135,3.5,none,F
MATH 212,11:00-11:50/135,3.51,none,F
MATH 212,11:00-11:50/135,3.51,none,S
MATH 221,11:00-11:50/135,3.22,none,F
MATH 222,11:00-11:50/135,3.32,none,S
MATH 354,14:00-14:50/135,3.81,none,F
MATH 355,13:00-13:50/135,3.46,none,S
MATH 355,14:00-14:50/135,2.96,none,F
PHYS 102,9:00-9:50/135,3.74,none,S
PHYS 101,9:00-09:50/13,3.86,none,F
PHYS 111,10:00-10:50/135,3.64,none,F
PHYS 112,9:00-9:50/135,3.53,none,S
PHYS 125,9:25-10:40/24,3.57,none,F
PHYS 126,9:25-10:40/24,3,none,S
STAT 310,13:00-14:15/24,2.88,none,F
STAT 310,13:00-14:15/24,3.44,none,S
